id,spec_clausula,posicao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
ALFA-CIP-14a,CipherSpec/CONSTRAINTS componente ausente,FAIL,constraint-semantica-vazio,"AndroidCipherTransformationUtil.java:51-56 e 184-191 (vazio => irrestrito); Cipher.cryptsl:145 e 167 (convencao '' explicita em RSA/ChaCha20)","o oraculo cru usa '' como membro de conjunto: AES/DESede/BLOWFISH/ARC4/AES_128/AES_256 nao listam '' => 'AES' bare e 'AES/CBC' sem padding violam o cru; util aceita","javadoc do util documenta a decisao (ancorada em CrySL 1.5.2); nao ha registro em data/gh101; oraculo do pre-registro e o api30 cru","a semantica de part() sobre componente ausente no CogniCrypt real nao foi verificada; a convencao '' e inferida dos proprios literais da regra",FN,major,0.75
ALFA-CIP-14b,CipherSpec/CONSTRAINTS folding case/hifen,FAIL,constraint-normalizacao,"AndroidCipherTransformationUtil.java:251-253; corpus citado no javadoc (AES/CBC/PKCS5PADDING; OAEPWithSHA1AndMGF1Padding)","aceita strings que o cru rejeita; equivalencia depende da resolucao case-insensitive do JCA (INFERIDO; nao provado); hifen nao funde literais do conjunto OAEP (conferido)","verifiquei que o folding nao funde dois literais distintos da regra (nao funde)","equivalencia JCA nao demonstrada formalmente nesta rodada",FN-formal/FP-evitado,minor,0.7
ALFA-CIP-15,CipherSpec/CONSTRAINT encmode in {1;2;3;4},FAIL,constraint-omitida,"CipherSpec.mop (nenhuma checagem de encmode); Cipher.cryptsl:127","omitida; mitigacao: Cipher.init lanca InvalidParameterException (INFERIDO da API); evento before dispara mesmo assim sem report","procurei registro em data/gh101 (ausente)","mitigacao por API nao verificada contra android-30",FN,minor,0.8
ALFA-CIP-16,CipherSpec/CONSTRAINTS comprimento c5-c8,FAIL,constraint-omitida,"CipherSpec.mop (offsets bound sem checagem); Cipher.cryptsl:129-135","4 clausulas omitidas; c6/c8 sao artefatos dubios do gerador mas o oraculo entra cru; API cobre parte por excecoes","procurei registro (ausente)","idem 15",FN,minor,0.7
ALFA-CIP-17,CipherSpec/CONSTRAINT c2 noCallTo(IWOIV),FAIL,constraint-omitida,"Cipher.cryptsl:123; CipherSpec.mop init2 (sem checagem de modo/direcao no ramo sem params)","decrypt CBC-familia via init sem IV (i3/i8) nao reporta nada; a distincao IWOIV x IWIV e recuperavel por aridade+instanceof mas nenhum codigo a consome","procurei em predicate_omissions.csv e divergence_record.csv (ausente)","realizabilidade do trace e alta (decrypt CBC com IV implicito do provider)",FN,critica,0.8
ALFA-CIP-18,CipherSpec/CONSTRAINT c3 callTo(iv),FAIL,constraint-omitida,"Cipher.cryptsl:125; CipherSpec.mop:44-46 ('nothing reaches ... getIV'); orcamento 14<17 (INV-INS-115)","encrypt CBC-familia sem getIV() nao reporta; omissao registrada so como comentario; havia 3 slots livres no orcamento - nao e inevitavel","procurei registro formal em data/gh101 (ausente); o comentario do spec registra a ausencia mas nao a justifica contra o teto","clausula do oraculo cru de valor semantico questionavel (exigir leitura do IV); pesquisador pode reduzir escopo formalmente",FN,major,0.8
ALFA-CIP-19,CipherSpec/ENSURES encrypted (3 clausulas),PASS,ensures-projetado,"CipherSpec.mop:216-280 (setProperty ENCRYPTED nas saidas); MacSpec.mop:151-180 (leitor)","projecao do biplace na 1a casa (saida); leitor do conjunto so consome a 1a casa - projecao preserva o uso; escrita presente em todos os 8 eventos de saida","procurei evento de saida sem escrita (nenhum)","2a casa perdida e definitiva no mecanismo unario; auditoria de conjunto decide se ha consumidor prejudicado",FN-latente,minor,0.8
ALFA-CIP-20,CipherSpec/ENSURES generatedCipher (extra-oraculo),FAIL,ensures-extra-oraculo,"Cipher.cryptsl:187-194 (ENSURES so encrypted x3); CipherSpec.mop:161 e 188 e 207; divergence_record.csv (ancora 1.5.2); grep api30 CipherInputStream/OutputStream sem REQUIRES generatedCipher","escrita nao licenciada pelo oraculo api30; incoerencia interna: g3 (transformacao insegura) ainda marca GENERATED_CIPHER, contradizendo o acoplamento documentado ENSURES-REQUIRES (so a chave e acoplada)","registro gh101 existe e declara a ancora 1.5.2; sob oraculo pre-registrado (api30 cru) permanece extra-oraculo","escolha de ancora e decisao de pesquisa; impacto no conjunto e baixo porque api30 nao tem o REQUIRES correspondente",FP/FN-conjunto-baixo,minor,0.85
ALFA-CIP-21,CipherSpec/escrita WRAPPED_KEY,PASS,efeito-morto-registrado,"CipherSpec.mop:235-239; predicate_omissions.csv linha WRAPPED_KEY","escrita sem leitor e sem ENSURES no api30; registrada como omissao deliberada","-","-",nenhum,minor,0.9
ALFA-CIP-22,CipherSpec/@fail __RESET cascata,FAIL,diagnostico,"CipherSpec.mop:330-333; fsm start sem transicoes u/f","apos um fail o __RESET volta a start; cada evento u/f seguinte gera novo InvalidSequenceOfMethodCalls - cascata de reports para um unico defeito","procurei estado de absorcao pos-fail (nao ha)","dedupe a jusante (parser/errors.csv) pode mascarar - dimensao 7 e de outro agente",FP-ruido,major,0.75
ALFA-CIP-23,CipherSpec/mensagem UnsafeAlgorithm,FAIL,diagnostico-mensagem,"CipherSpec.mop:55-56 ('AES/PCBC/ISO10126Padding') vs util (PCBC fora dos modos de AES)","mensagem cita como esperado um exemplo que o proprio checker rejeita","-","-",diagnostico,minor,0.95
ALFA-CIP-24,CipherSpec/orcamento de alfabeto,PASS,gerabilidade-sintatica,"contagem: 14 declaracoes event (inventario_pareamento.md); teto 17 (INV-INS-115)","14 <= 17; geracao real e medicao de outro agente","-","teto e alegacao gh101 sem output bruto commitado (manifesto)",nenhum,minor,0.7
ALFA-GCM-01,GCMParameterSpecSpec/eventos c1 duplicado + c2 orfao,INCONCLUSIVE,sintaxe-simbolo-nao-declarado,"GCMParameterSpecSpec.mop:23 e 34 (ambos 'event c1') e 48 (ere: c1 | c2); javamop/output/MOPErrorChecker.java:23-39 (nao valida simbolos da propriedade)","o ere referencia simbolo sem produtor; H-GCM (homonimos disparam o mesmo simbolo; c2 morto) torna a linguagem equivalente; se o gerador rejeitar, a spec nao constroi","evidencia de producao do conjunto jca (byte-identico) sugere que gera; nao localizei o artefato gerado nesta rodada","comportamento do parser/logica com simbolo orfao nao verificado - teste executavel de outro agente",nenhum-se-H-GCM,major,0.6
ALFA-GCM-02,GCMParameterSpecSpec/ORDER Cons,PASS,linguagem-inclusao-dupla,"python3 alfa_automata_check.py (produto sem separador); hashes 18c84f8f64f3b5dd/26474144cee2ab7f","dupla inclusao vale sob H-GCM; parametrico por objeto: um construtor por instancia, re-ocorrencia irrealizavel","-","condicional a ALFA-GCM-01",nenhum,minor,0.75
ALFA-GCM-03,GCMParameterSpecSpec/CONSTRAINT tLen,FAIL,supressao-vs-report,"GCMParameterSpecSpec.mop:26-29 e 37-43 (condition no creation event); GCMParameterSpec.cryptsl:29","valores {96;104;112;120;128} identicos, mas violacao suprime o evento: monitor nunca criado, @fail morto, zero report desta spec; acusacao so aparece deslocada no CipherSpec se o objeto for usado em GCM","procurei report direto de tLen invalido (inexistente); registro em data/gh101 (ausente - spec fora do escopo das correcoes por D-S10)","semantica creation-event-com-condition assumida do JavaMOP",FN-terminal+diagnostico,critica,0.85
ALFA-GCM-04,GCMParameterSpecSpec/REQUIRES randomized[src],FAIL,supressao-vs-report,"GCMParameterSpecSpec.mop:28 e 39; SecureRandomSpec.mop:121 (writer)","mesma mecanica de supressao da GCM-03: src nao randomizado => silencio total desta spec","idem GCM-03","idem GCM-03",FN-terminal+diagnostico,critica,0.85
ALFA-GCM-05,GCMParameterSpecSpec/condicoes extras do ctor 4-args,PASS,divergencia-equivalente,"GCMParameterSpecSpec.mop:40-42; javadoc GCMParameterSpec (ctor lanca IllegalArgumentException nos mesmos casos)","condicoes redundantes sob after-returning: nunca falsas quando o evento dispara","procurei caso em que a condicao extra suprime evento legitimo (nenhum sob a API documentada)","comportamento do ctor INFERIDO da API; nao verificado contra android-30 real",nenhum,minor,0.7
ALFA-GCM-06,GCMParameterSpecSpec/ENSURES preparedGCM[this],PASS,ensures,"GCMParameterSpecSpec.mop:55-58; leitor CipherSpec via requiresPreparedGcm (util:221-223)","@match escreve PREPARED_GCM no proprio objeto; identidade compativel; acoplamento a conformidade espelha CrySL","-","-",nenhum,minor,0.9
ALFA-GCM-07,GCMParameterSpecSpec/D-S10 freeze byte-a-byte,PASS,observacao-tese-D-S10,"manifesto Fase 0 (byte-identica ao jca); claims GCM-01/03/04","as correcoes da gh101 (leituras em corpo; simbologia) nao alcancaram esta spec: os defeitos sao herdados do congelado","-","-",registro,minor,0.9
ALFA-GCM-08,GCMParameterSpecSpec/imports List-Arrays ausentes,INCONCLUSIVE,geracao-compilacao,"GCMParameterSpecSpec.mop:3-7 (imports) e 21 (Arrays.asList); grep java.util em jca_android/*.mop (List so em MessageDigestSpec; Arrays em nenhum)","em modo agregado o import de List viria de outro spec; Arrays de nenhum - compilacao do aspecto depende de import emitido pelo gerador, nao localizado","producao do jca byte-identico sugere que compila","mecanismo de imports do gerador nao inspecionado ate o fim - teste executavel de outro agente",nenhum-se-compila,major,0.55
