claim_id,resolucao,classificacao,dimensao_score,evidencia_decisiva,pendencia
BETA-GCM-02,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (linguagem; defeito textual registrado) [posicao do agente era FAIL(texto)/PASS(linguagem): metade FAIL alojada em GAMA-GCM-01 - decisao de atribuicao declarada (REF-06/09)],linguagem,"artefato: 1 tabela {1,2,2}, 2 carriers, c2 morto; linguagem efetiva = intencao","fail-open do gerador contabilizado em GAMA-GCM-01; nao generaliza a specs maiores"
BETA-GCM-03,PASS,FIDELIDADE_DEMONSTRADA (captura de ctors exata; fato medido),captura,"PointcutBudgetCtor com matcher de producao: ctor/2 e ctor/4 DISJOINT; vizinhos livres; triangulado com harness stock e android-37.0 do host","incorporar variante ctor ao harness padrao (ajuste 4); rev.2 (REF-12): android-36 do Docker nao triangulado"
BETA-GCM-04,FAIL,INCORRETA (diagnostico; critica no fenomeno agregado - classificacao de Beta ajustada de limitacao para defeito),diagnostico,"alcancabilidade no artefato: estado 2 exige 2o c1 no mesmo monitor - impossivel; supressao sem transicao; criterio pre-registro secao 4 + alternativa demonstrada (leitura no corpo)","reparo na rodada das 23; impacto de conjunto atenuado apenas quando objeto chega ao init GCM"
BETA-GCM-05,PASS,FIDELIDADE_DEMONSTRADA (cadeia advice 1:1; artefato),bindings,"2 advices after-returning, 1 monitorCall cada; descriptor == aj campo a campo; bindings em ordem","ameaca A2 do __LOC compartilhada"
BETA-SET-01,PASS,FIDELIDADE_DEMONSTRADA (conjunto de producao gera limpo; fato medido),toolchain,"23 specs: 0,67s/170MB + 28,09s/1,71GB; 119 advices/140 monitorCalls; histograma N {1:100,2:18,4:1}",-
BETA-SET-02,PASS,FIDELIDADE_DEMONSTRADA (determinismo/composicao; fato medido),reprodutibilidade,".rvm byte-identico individual/par/conjunto; advices Cipher+GCM identicos no descriptor do conjunto","apenas 2 specs comparadas em profundidade"
BETA-SET-03,INCONCLUSIVE,INCONCLUSIVA [rev.2: era PASS(escopo codigo); REF-03 - alegacao so de leitura nao fecha claim de toolchain; metade decisiva (DEX tecido) NAO_VERIFICADA],toolchain,"leitura favoravel registrada: MonitorInvokeBuilder.java:69-78 itera todos os monitorCalls; registry e commonPointcut fail-loud; validador itera; evidencia V0/V2 da gh100 segue alegacao de terceiro","fechamento exige weave dexlib2 de APK sintetico + baksmali diff (G6)"
BETA-SET-04,FAIL,INCORRETA (fail-open do binario fora do pipeline; minor),toolchain,"javamop exit 0 com erro em stderr (medido); producao compensa (utils.py:42-47)","corrigir exit code upstream ou documentar"
BETA-SET-05,PASS,FIDELIDADE_DEMONSTRADA (G10 sem efeito no piloto NO HOST; fato medido),toolchain,"mesas android-30 vs android-37.0 identicas para as classes das 2 specs","rev.2 (REF-12): android-36 do Docker nao triangulado; outras specs podem ter membros novos em API>30 - reverificar por spec nas 23"
GAMA-CIP-01,FAIL,INCORRETA (diagnostico; major; todo @fail = unknown),diagnostico,"construtor 3-arg delega com unknown (ErrorDescription.java:34-36 - verificado pelo juiz); corroboracao historica 70760/97018","reparo: construtor 4-arg com evento/estado nos @fail"
GAMA-CIP-02,FAIL,INCORRETA (diagnostico; major; espurio + especifico na mesma chamada),diagnostico,"transition_init2[0]=5 com corpo antes de handleEvent (provado; converge ALFA-CIP-06)",-
GAMA-CIP-03,FAIL,INCORRETA (diagnostico; major; acusacao deslocada - residuo D-S9),diagnostico,"condition false -> sem transicao; doFinal seguinte transita 3->5; __LOC da chamada seguinte; misuse key aponta metodo errado","registrado em frozen_set_debt 3b.11b - registrado != aprovado"
GAMA-CIP-04,FAIL,INCORRETA (diagnostico; major; colisao de dedupe in-JVM),diagnostico,"identidade exclui expecting (ErrorDescription.java:109-139); clausulas distintas no mesmo __LOC: so a 1a emitida por processo",-
GAMA-CIP-05,FAIL,INCORRETA (diagnostico; major; sem campo de conjunto),diagnostico,"ErrorSummary.java:123-124: nenhum campo distingue jca de jca_android","ameaca A5: braco jca_android indistinguivel em dataset futuro; reparo antes de qualquer campanha"
GAMA-CIP-06,FAIL,INCORRETA (diagnostico; minor; allow-list elidida),diagnostico,"literal estatico '...' nao sincronizado com a tabela do util","converge com ALFA-CIP-23 (mesmo literal)"
GAMA-CIP-07,INCONCLUSIVE,"INCONCLUSIVA [rev.2 (REF-07): fundamento = criterio pre-registrado (dano nao determinavel por leitura + execucao; handler nao exercitado); o argumento 'newline nao sobrevive ao getInstance' fica como hipotese, nao fundamento]",diagnostico,"escape comentado e fato (ErrorCollector.java:39-51); dano nao demonstrado em trace realizavel; o proprio Gama rotulou INFERIDO/hipotetico","harness de serializacao com string controlada contendo \n (rodada das 23)"
GAMA-CIP-08,FAIL,INCORRETA (mesmo mecanismo de BETA-CIP-06; rota independente),toolchain,"gen_gcm RuntimeMonitor.java:38-44: retorno ignorado; flags do evento anterior persistem","idem BETA-CIP-06"
GAMA-GCM-01,FAIL,INCORRETA (toolchain; fail-open de simbolo indefinido em ere; minor aqui e major como padrao),toolchain,"dois event c1 (mop:23/34) + ere c1|c2 (:48) verificados pelo juiz; geracao limpa sem warning (medido por Beta e Gama)","validador de simbolos no gerador; typo futuro mudaria linguagem em silencio"
GAMA-GCM-02,FAIL,INCORRETA (diagnostico; major; @fail morto),diagnostico,"prova estrutural {1,2,2} + monitor por objeto novo; corroboracao historica 0 linhas (nunca prova, so consistencia)",-
GAMA-GCM-03,FAIL,INCORRETA (critica; supressao + deslocamento sem causa-raiz),predicados,"condition de criacao dobra CONSTRAINT+REQUIRES; deteccao so via CipherSpec.mop:88-92 e apenas se objeto usado em init GCM; FN realizavel","converge ALFA-GCM-03/04; reparo padrao leitura-no-corpo"
GAMA-SET-01,FAIL,INCORRETA (toolchain; major; estatica cai silenciosamente em jca),toolchain,"literal jca em rv_static_analysis/config.py:199-206 e caller sem mop_dir (rv_experiment/config.py:941-950) - verificados pelo juiz","gate de configuracao antes de qualquer campanha jca_android; quantificar sobreposicao (classe,metodo)"
GAMA-SET-02,FAIL,"INCORRETA (major; identidade estatico-dinamico so (classe,metodo))",reprodutibilidade,"MopMethod com descritor vs ErrorSummary sem descritor; nenhum lado tem id de regra/clausula","terceiro estado nao representado no pipeline; insumo para G12"
GAMA-SET-03,FAIL,INCORRETA (toolchain; minor; probe de android_jar sem api 30),toolchain,"lista ['33','29','28','27','26'] verificada pelo juiz (config.py:186-194)","adicionar 30 a lista ou parametro explicito"
GAMA-SET-04,INCONCLUSIVE,INCONCLUSIVA (__LOC sob DEX),diagnostico,"frames fileName==null escapam do filtro mop.* (ViolationRecorder.java:87-105)","exige APK dexlib2 real (G6/G10)"
GAMA-SET-05,INCONCLUSIVE,INCONCLUSIVA (truncamento logcat),reprodutibilidade,"limite ~4068 bytes nao verificado nesta arvore; mensagens atuais <300 chars","verificar limite e adicionar guarda"
GAMA-SET-06,FAIL,INCORRETA (major; tres chaves de dedupe inconsistentes),reprodutibilidade,"in-JVM (com linha) vs unique_msg (com msg sem linha) vs misuse (sem tipo); linha morre antes do CSV","declarar agregacao em todo numero; reparo de esquema no dataset futuro"
GAMA-SET-07,INCONCLUSIVE,INCONCLUSIVA (historico pre-reparo; gerador de hipoteses H1-H7),reprodutibilidade,"97018 linhas/225 unique_msg/113 APKs/454 sitios/8147 execucoes; H4: rotulo vazio em Signature/MD/Mac nao explicado pela narrativa do Grupo 8","H1-H7 viram testes na rodada das 23; nunca inferir do zero"
