# Derived by scripts/gh109_coverage_matrix.py --emit. Do not edit by hand.
# terminal_state is one of covered | na-platform | na-value (D-19).
# `covered` is a verdict of PAIRING AND ADJUDICATION, NOT of clause completeness:
#   the depth of a transcription is measured per rule by M0-M4 of the rvsec-crysl
#   conformance component and clause by clause by constraint_table.csv and
#   predicate_ledger.csv. This file does not re-derive it.
# oracle_defect_row is a join on divergence_record.csv rows of kind `oracle-wart`
#   whose `file` column names tools/rules/<Rule>.crysl. A defect is an attribute of
#   a rule's row, never a terminal state of its own (D-21).
rule,terminal_state,evidence,oracle_defect_row
DigestInputStream,covered,DigestInputStreamSpec.mop,
DigestOutputStream,covered,DigestOutputStreamSpec.mop,
ECGenParameterSpec,covered,ECGenParameterSpecSpec.mop,
ECParameterSpec,covered,ECParameterSpecSpec.mop,
GCMParameterSpec,covered,GCMParameterSpecSpec.mop,
HMACParameterSpec,na-platform,"the rule's SPEC line names javax.xml.crypto.dsig.spec.HMACParameterSpec, of the java.xml.crypto module, and every android.jar installed here -- 25 platform jars, android-10 through android-37 -- holds zero entries under javax/xml/crypto (archive listing, re-measured at gh109 task 5.1). The subject class exists on no Android API level, so the monitor can never fire an event (INV-INS-155). The .mop is kept as documentation of untranslatability, not as coverage; retiring it to backup/ stays available and would move only the enumeration constants. On a JVM, where the class does load, the composition its ENSURES feeds is out of reach too: no algorithm of Mac.crysl:44 accepts the parameter spec, which is what rows 38 and 80 of predicate_ledger.csv record from the requiring and the producing side",
IvParameterSpec,covered,IvParameterSpec.mop,
Key,covered,KeySpec.mop,
KeyAgreement,covered,KeyAgreementSpec.mop,"GenSecretBuffer at :31 is bound to the getInstance overload `g2` where `gs2` is meant, and :34 declares a label no clause uses"
KeyFactory,covered,KeyFactorySpec.mop,
KeyGenerator,covered,KeyGeneratorSpec.mop,
KeyManagerFactory,covered,KeyManagerFactorySpec.mop,
KeyPair,covered,KeyPairSpec.mop,
KeyPairGenerator,covered,KeyPairGeneratorSpec.mop,
KeyStore,covered,KeyStoreSpec.mop,
KeyStoreBuilderParameters,covered,KeyStoreBuilderParametersSpec.mop,
MGF1ParameterSpec,covered,MGF1ParameterSpecSpec.mop,
Mac,covered,MacSpec.mop,
MessageDigest,covered,MessageDigestSpec.mop,
OAEPParameterSpec,covered,OAEPParameterSpecSpec.mop,"the OBJECTS block at :8 declares `java.lang.String alg`, which no event, constraint, requirement or ensures clause uses -- anomaly note, no transcription consequence"
PBEKeySpec,covered,PBEKeySpecSpec.mop,
PBEParameterSpec,covered,PBEParameterSpecSpec.mop,
PKIXBuilderParameters,covered,PKIXBuilderParametersSpec.mop,
PKIXParameters,covered,PKIXParametersSpec.mop,
PasswordAuthentication,na-value,"java.net.PasswordAuthentication exists on api30 (archive listing), so the adjudication is about the rule and not the platform, and it rests on two verified legs (INV-INS-156). (a) Both CONSTRAINTS clauses are static-analysis predicates the instrument cannot evaluate at run time: neverTypeOf[password, java.lang.String] asks about the DECLARED type of the expression that produced the argument, which is erased by the time an advice sees a char[], and notHardCoded[password] asks whether the value came from a literal in the source. (b) generatedPasswordAuthentication (PasswordAuthentication.crysl:26) is required by no rule of the 49 -- it is this rule's own ENSURES and nothing else names it -- so a specification for the rule would monitor every construction and reach no verdict a reader could act on. What the ORDER would still accuse is recorded rather than assumed away: Con, (GetPassword | GetUserName)* refuses a getPassword() on an object whose construction went unobserved, exactly as every `ere : c1 ...` of the set does. That residue is the whole of what a specification here would add, and it is an artefact of instrumentation reach rather than a misuse the expert rule names -- which is why the once-claimed third leg, 'the ORDER is unviolatable', is withdrawn as imprecise and is not what this adjudication rests on",
RSAKeyGenParameterSpec,covered,RSAKeyGenParameterSpecSpec.mop,
SSLContext,covered,SSLContextSpec.mop,
SSLEngine,covered,SSLEngineSpec.mop,the EnableProtocol label at :12 is bound to the undeclared event `cp1`; the specification transcribes `ep1`
SSLParameters,covered,SSLParametersSpec.mop,
SecretKey,covered,"SecretKeySpec.mop (realises the rule's ENSURES; the Destroy tail is platform-dead (INV-INS-137), so no reachable trace yields a further verdict. NON_PAIRING_FILES governs specification pairing, not coverage)",
SecretKeyFactory,covered,SecretKeyFactorySpec.mop,the algorithm CONSTRAINT lists PBEWithHmacSHA384AndAES_128 twice
SecretKeySpec,covered,SecretKeySpecSpec.mop,
SecureRandom,covered,SecureRandomSpec.mop,
Signature,covered,SignatureSpec.mop,
TrustAnchor,covered,TrustAnchorSpec.mop,
TrustManagerFactory,covered,TrustManagerFactorySpec.mop,
X509EncodedKeySpec,covered,X509EncodedKeySpecSpec.mop,
